Attraction Name,Latitude,Longitude,State,Type,Weather,Temperature
Elijah Mountain Gem Mine and Goat Farm,35.3244604,-82.50380539999999,North Carolina,point_of_interest,Clear,25.0
Southwest Wildlife Conservation Center,33.7314745,-111.7468092,Arizona,park,Mostly Cloudy,50.0
Sugarland Cellars,35.7070108,-83.522622,United States,food,Clear,26.0
National Museum of World War II Aviation,38.8203508,-104.7204888,Colorado,museum,Mostly Cloudy,23.0
Fountainhead Antique Auto Museum,64.8604433,-147.7137352,Alaska,museum,Light Snow Likely,-1.0
Hillside Winery,35.8374946,-83.5610859,Tennessee,food,Clear,23.0
Air Mobility Command Museum,39.1190036,-75.4568074,Delaware,museum,Mostly Clear,28.0
Hilton Head Distillery,32.2239659,-80.7016202,United States,point_of_interest,Clear,40.0
Museum of American Speed,40.8186485,-96.7256592,Nebraska,museum,Mostly Clear,25.0
Tennessee Cider Company,35.7132217,-83.5137398,Tennessee,establishment,Clear,26.0
Dig This,35.9480152,-115.1758659,Nevada,establishment,Mostly Cloudy,40.0
The Beatles - Love - Cirque du Soleil,36.1204933,-115.1747142,Nevada,point_of_interest,Partly Cloudy,43.0
Cosmo's Magic Theater,38.89612899999999,-104.842006,Colorado,point_of_interest,Mostly Cloudy,23.0
Safari Zoological Park,37.0142747,-95.9007922,Kansas,park,Mostly Clear,29.0
Gracianna Winery,38.5251895,-122.8658955,California,establishment,Partly Cloudy then Patchy Fog,39.0
Oakland California Temple & Visitors' Center,37.80810719999999,-122.1990111,California,establishment,Mostly Cloudy,46.0
Horseshoe Casino,41.694271,-87.5070037,Indiana,establishment,Mostly Clear,31.0
Tennessee Legend Distillery - Winfield Dunn Parkway,35.887853,-83.5775334,Tennessee,point_of_interest,Clear,23.0
Little Opry Theater,36.6535949,-93.2873831,Missouri,point_of_interest,Clear,32.0
Horseshoe Hammond,41.694271,-87.5070037,Indiana,establishment,Mostly Clear,31.0
Black Spruce Dog Sledding,64.9929219,-148.040631,Alaska,point_of_interest,Light Snow Likely,1.0
Hatchet Hangout - Axe Throwing St Pete,27.7708429,-82.66561050000001,United States,point_of_interest,Partly Cloudy,53.0
Historic Auto Attractions,42.461352,-89.0142238,Illinois,museum,Mostly Clear,25.0
Wild Gals Old Time Photo,35.8242701,-83.5760857,Tennessee,point_of_interest,Clear,23.0
Harrah's Philadelphia,39.8505188,-75.3492296,Pennsylvania,establishment,Mostly Clear,29.0
"Immersive Gamebox - Grandscape, The Colony",33.0745078,-96.86028,Texas,point_of_interest,Mostly Clear,40.0
Kauai Backcountry Adventures,21.9950123,-159.3551132,Hawaii,point_of_interest,Chance Rain Showers,72.0
Clue Carre - New Orleans' First Live Escape Game,29.9514538,-90.0722769,Louisiana,point_of_interest,Partly Cloudy,43.0
The Escape Room USA - Columbus,39.9717077,-83.0028371,Ohio,point_of_interest,Partly Cloudy,27.0
Royal Star Hawaii Deluxe Tours,21.3315476,-157.8858822,Hawaii,point_of_interest,Partly Cloudy,73.0
Toa Luau,21.6359328,-158.0541769,Hawaii,point_of_interest,Partly Cloudy then Isolated Rain Showers,68.0
The Escape Game Pigeon Forge,35.8032637,-83.57006299999999,Tennessee,point_of_interest,Clear,23.0
Naughty Cat Cafe,35.0112793,-85.3265924,Tennessee,point_of_interest,Clear,29.0
Epcot World Showcase,28.3718246,-81.549381,Florida,establishment,Partly Cloudy,47.0
Over The Falls Tours,43.1024441,-78.96161839999999,New York,point_of_interest,Mostly Cloudy then Chance Snow Showers,30.0
The Escape Game Orlando,28.4482115,-81.47050689999999,Florida,point_of_interest,Partly Cloudy,47.0
The Little Vegas Chapel,36.1548616,-115.1516056,Nevada,point_of_interest,Partly Cloudy,43.0
Cowgirls and Cowboys in the West,35.0146205,-101.6626929,Texas,point_of_interest,Mostly Cloudy,30.0
The Magical Mystery Show at Hilton Waikiki Beach,21.275445,-157.8220021,United States,point_of_interest,Partly Cloudy,71.0
Trapped Escape Game,35.8063698,-83.57861919999999,Tennessee,point_of_interest,Clear,23.0
Las Vegas ATVs,36.1049958,-115.1853626,Nevada,point_of_interest,Partly Cloudy,43.0
Juneau Tours & Whale Watch,58.30049329999999,-134.4201306,Alaska,political,Heavy Rain,39.0
Las Vegas Shooting Center,36.095994,-115.1817368,Nevada,point_of_interest,Partly Cloudy,43.0
Beat The Bomb,40.7030771,-73.9838659,New York,point_of_interest,Mostly Clear,33.0
9/11 Ground Zero Tour,40.7113389,-74.0090029,New York,point_of_interest,Mostly Clear,33.0
The Final Door Escape Room Columbia,33.9815387,-81.064883,United States,point_of_interest,Clear,30.0
Dean Z - the Ultimate Elvis,36.6373405,-93.2796631,Missouri,point_of_interest,Clear,32.0
Immersive Gamebox - Lower East Side,40.71814,-73.9885917,New York,point_of_interest,Mostly Clear,33.0
Breakout Games - Boston (Marlborough),42.3381974,-71.5848634,Massachusetts,point_of_interest,Mostly Clear,28.0
Smoky Mountain Escape Games,35.8073735,-83.5750104,Tennessee,point_of_interest,Clear,23.0
King Fisher Fleet,26.9282576,-82.0639672,United States,point_of_interest,Partly Cloudy,45.0
Alaska Tales,58.2987361,-134.4045556,Alaska,point_of_interest,Heavy Rain,39.0
Soul Of Motown,35.8131233,-83.57860389999999,United States,point_of_interest,Clear,23.0
Elusive Escape Rooms,43.6047754,-89.7918601,Wisconsin,point_of_interest,Partly Cloudy,23.0
Blue Ocean Adventure Tours,21.95939,-159.692097,Hawaii,point_of_interest,Partly Cloudy,71.0
Na'alapa Stables - Kahua Ranch,20.1177634,-155.7874267,Hawaii,point_of_interest,Scattered Rain Showers,59.0
Koloa Zipline,21.903717,-159.464447,Hawaii,point_of_interest,Scattered Rain Showers,69.0
Escape Room BCS,30.6225301,-96.3116005,United States,point_of_interest,Mostly Clear,39.0
Gray Line of Niagara Falls/Buffalo,42.88644679999999,-78.8783689,New York,political,Snow Showers Likely,31.0
Breakout Games - Dayton,39.6284222,-84.1960675,Ohio,point_of_interest,Mostly Clear,27.0
Chicago’s First Lady Cruises,41.8884395,-87.6242388,Illinois,point_of_interest,Mostly Clear,31.0
Hawaii Turtle Tours,21.3034985,-157.8555149,Hawaii,point_of_interest,Partly Cloudy,74.0
Devon Transportation,28.4350953,-81.4809212,Florida,point_of_interest,Partly Cloudy,47.0
Miami Culinary Tours,25.7741483,-80.1385432,United States,point_of_interest,Mostly Cloudy,67.0
Danger Charters,24.558023,-81.80722899999999,Florida,park,Mostly Cloudy,66.0
Pomona Salt Cave And Spa,37.8819389,-80.2271804,West Virginia,establishment,Mostly Clear,19.0
Exotics Racing,35.930063,-115.1898532,Nevada,point_of_interest,Mostly Cloudy,40.0
Breakout Games - Richmond,37.4955696,-77.5646742,Virginia,point_of_interest,Mostly Clear,25.0
Fun 2 Dive Manatee Tours,28.8971994,-82.59118029999999,Florida,park,Partly Cloudy,37.0
Green Light Escape Room,34.2369668,-77.9485462,United States,point_of_interest,Mostly Clear,32.0
Gastineau Guiding,58.2879229,-134.3873782,United States,point_of_interest,Heavy Rain,40.0
Foods of New York Tours,40.7127753,-74.0059728,New York,political,Mostly Clear,33.0
The Escape Game Cincinnati,39.0970424,-84.5127277,Ohio,point_of_interest,Mostly Clear,28.0
Breakout Games - Virginia Beach,36.8408343,-76.1088884,Virginia,point_of_interest,Mostly Clear,34.0
Wasabi Tours Hawaii,19.6753791,-156.010155,Hawaii,point_of_interest,Partly Cloudy,70.0
Grim Philly Twilight Tours,39.9509055,-75.15002059999999,Pennsylvania,point_of_interest,Mostly Clear,29.0
River Ventures,28.8918273,-82.58636969999999,Florida,point_of_interest,Partly Cloudy,37.0
Las Vegas Elite Offroad,36.2776718,-115.0227809,Nevada,point_of_interest,Mostly Cloudy,41.0
7 Seas Whale Watch,42.6113606,-70.663668,United States,park,Mostly Clear,32.0
Little Toot Dolphin Adventure,27.9765564,-82.8277861,United States,point_of_interest,Partly Cloudy,50.0
X-Treme Parasail,21.2935878,-157.8553955,United States,point_of_interest,Partly Cloudy,74.0
Canyons Zip Line & Canopy Tours,29.2704414,-82.1798546,Florida,establishment,Mostly Clear,37.0
Breakout Games - Jacksonville,30.2252313,-81.5871889,Florida,point_of_interest,Mostly Clear,43.0
The Wagsters Magic Theatre,37.31687610000001,-76.7387474,Virginia,point_of_interest,Mostly Clear,25.0
South Florida Elite Shuttle,26.0971278,-80.13012239999999,Florida,point_of_interest,Mostly Cloudy,64.0
CLIMB Works Smoky Mountains,35.7633413,-83.32645649999999,Tennessee,point_of_interest,Clear,28.0
Get Up And Go Kayaking - Tampa Bay,27.763383,-82.5436722,Florida,natural_feature,,
Plantation Adventure Center,28.8787113,-82.5902581,United States,point_of_interest,Partly Cloudy,37.0
WildSide 4x4 Tours,40.3765744,-105.5207615,Colorado,point_of_interest,Chance Light Snow then Areas Of Freezing Drizzle,20.0
Breakout Games - Cincinnati (West Chester),39.329095,-84.42444590000001,Ohio,point_of_interest,Mostly Clear,27.0
Dells Escape Rooms,43.6278095,-89.7725684,Wisconsin,point_of_interest,Partly Cloudy,23.0
River Rat Whitewater Rafting,35.814233,-83.1444235,Tennessee,point_of_interest,Clear,24.0
CLIMB Works Keana Farms,21.6724196,-157.9419322,Hawaii,point_of_interest,Scattered Rain Showers,74.0
Just Chute Me Parasail,30.3923748,-86.4995974,Florida,point_of_interest,Mostly Clear,43.0
Kapalua Ziplines,20.9993506,-156.6547672,United States,point_of_interest,Isolated Rain Showers,72.0
The Escape Game New Orleans,29.953033,-90.0654436,Louisiana,point_of_interest,Partly Cloudy,43.0
Jackson Hole Eco Tour Adventures,43.4611082,-110.7961975,Wyoming,point_of_interest,Chance Light Snow,20.0
Grand Adventures Tours,36.0983521,-115.1972275,Nevada,point_of_interest,Partly Cloudy,43.0
BrushBuck Wildlife Tours,43.4731868,-110.7900965,Wyoming,point_of_interest,Chance Light Snow,20.0
Escape Thrill,28.0383472,-82.73664040000001,United States,point_of_interest,Partly Cloudy,48.0
Waco Tours,31.5515108,-97.1313596,Texas,point_of_interest,Mostly Clear,37.0
Echo Canyon River Expeditions,38.4968868,-105.3223882,Colorado,point_of_interest,Mostly Cloudy,22.0
Scottsdale Adventure Tours,33.4948764,-111.9216734,Arizona,political,Mostly Cloudy,49.0
The Magical Mystery Show!,21.275445,-157.8220021,United States,point_of_interest,Partly Cloudy,71.0
Horseshoe Bend Slot Canyon Tours,36.9071924,-111.4812945,Arizona,point_of_interest,Mostly Cloudy,28.0
Kanab Tour Company,37.0421112,-112.5138465,Utah,point_of_interest,Mostly Cloudy,29.0
Door County Trolley,45.0604782,-87.2734832,Wisconsin,establishment,Mostly Cloudy,27.0
East Zion Adventures,37.2724667,-112.8747667,Utah,park,Mostly Cloudy,26.0
Dreamland Safari Tours,37.0426883,-112.5197347,Utah,park,Mostly Cloudy,29.0
Na Pali Experience,21.959653,-159.691901,Hawaii,point_of_interest,Partly Cloudy,71.0
Babcock Ranch Eco Tours,26.8569306,-81.72121369999999,Florida,park,Partly Cloudy,46.0
Vino's Picasso,26.52046,-81.869756,Florida,point_of_interest,Partly Cloudy,50.0
Captain Derek's Dolphin Adventure,32.0151813,-80.8827944,Georgia,point_of_interest,Clear,43.0
Bikes And Hikes LA Tours,34.0889704,-118.3766489,California,park,Partly Cloudy,52.0
Desert Wolf Tours,33.8657657,-112.1498589,Arizona,point_of_interest,Mostly Cloudy,51.0
Kayaking SRQ Tours and Rentals,27.3092988,-82.5694852,Florida,point_of_interest,Partly Cloudy,48.0
Florida Adventures and Rentals,25.9557864,-81.72380609999999,Florida,point_of_interest,Partly Cloudy,54.0
Smoky Mountain Ziplines,35.7629741,-83.56138539999999,United States,point_of_interest,Clear,22.0
American Adventure Expeditions,38.8123675,-106.1055572,Colorado,point_of_interest,Mostly Cloudy,18.0
Hike Maui,20.7983626,-156.3319253,Hawaii,natural_feature,Mostly Clear,59.0
The Escape Game Columbus,40.0499752,-82.9160277,Ohio,point_of_interest,Partly Cloudy,27.0
Magic Hideaway,29.89203869999999,-81.3134221,United States,point_of_interest,Mostly Clear,46.0
Harv and Marv's Outback Alaska,58.3811381,-134.5696199,Alaska,point_of_interest,Heavy Rain,38.0
Legacy Mountain Ziplines,35.8078019,-83.46615690000002,Tennessee,establishment,Clear,23.0
Moab Tourism Center,38.5640604,-109.5501787,Utah,point_of_interest,Mostly Cloudy,22.0
Royal Gorge Rafting and Zip Line Tours,38.431109,-105.2688797,Colorado,natural_feature,Mostly Cloudy,26.0
American Legacy Tours,39.11061040000001,-84.51523999999999,Ohio,point_of_interest,Mostly Clear,28.0
Hocking Hills Canopy Tours,39.5785145,-82.51937439999999,United States,point_of_interest,Partly Cloudy,25.0
Jekyll Island ​Dolphin Tours,31.0583102,-81.4228371,Georgia,point_of_interest,Mostly Clear,40.0
Mint Julep Experiences - Louisville,38.2526339,-85.7545983,Kentucky,point_of_interest,Clear,29.0
Kailani Tours Hawaii,19.675163,-156.012821,Hawaii,point_of_interest,Partly Cloudy,72.0
Everglades Swamp Tours,26.1453465,-80.62457599999999,Florida,park,Partly Cloudy,57.0
Chicago Greeter,41.8848289,-87.62533839999999,United States,point_of_interest,Mostly Clear,31.0
Na Pali Catamaran,22.2027884,-159.497409,Hawaii,point_of_interest,Occasional Rain Showers,69.0
High Country Adventures,35.1238348,-84.71044239999999,United States,point_of_interest,Clear,22.0
Austin Detours,30.2649695,-97.737223,Texas,point_of_interest,Mostly Clear,42.0
Dream Racing,36.2721933,-115.0114522,Nevada,car_rental,Mostly Cloudy,41.0
Xtreme 4x4 Tours,38.539864,-109.515887,Utah,point_of_interest,Mostly Cloudy,24.0
Key West Extreme Adventures Shark Tours,24.5579189,-81.807622,Florida,point_of_interest,Mostly Cloudy,66.0
Fin Expeditions,28.3095292,-80.61408209999999,Florida,point_of_interest,Partly Cloudy,56.0
Sea Screamer,30.1456256,-85.74879760000002,Florida,establishment,Partly Cloudy,42.0
Back Country Safari Tours,36.3735952,-75.8279745,North Carolina,point_of_interest,Mostly Clear,42.0
Get Up And Go Kayaking - Rock Springs,28.7683992,-81.5037645,Florida,point_of_interest,Partly Cloudy,44.0
ilimo,39.6553915,-105.0135083,Colorado,point_of_interest,Patchy Drizzle,27.0
Key Lime Bike Tours,24.5598112,-81.8048962,Florida,point_of_interest,Mostly Cloudy,66.0
Desert Monsters Tours,33.626265,-111.9421726,Arizona,point_of_interest,Mostly Cloudy,51.0
Adventure Tours in Motion,32.0722226,-81.09547429999999,Georgia,point_of_interest,Clear,38.0
The Fun Boats Dolphin Cruises,30.2778387,-87.56031039999999,Alabama,point_of_interest,Partly Cloudy,41.0
ROAM Outdoor Adventure Co,37.1211491,-112.5639616,Utah,point_of_interest,Mostly Cloudy,27.0
Cocoa Kayaking,28.3125558,-80.6354446,Florida,point_of_interest,Partly Cloudy,56.0
Red Rock Scooter Tours,36.1766006,-115.3624168,Nevada,point_of_interest,Partly Cloudy,42.0
TOURS by STEVEN,29.9646051,-90.04647349999999,Louisiana,point_of_interest,Partly Cloudy,44.0
Arizona ATV Adventures,34.86137000000001,-111.8140731,Arizona,point_of_interest,Mostly Cloudy,42.0
Adventures Out West,38.820308,-104.8414033,Colorado,point_of_interest,Mostly Cloudy,23.0
Bigfoot Zipline,43.6075391,-89.7903311,Wisconsin,point_of_interest,Partly Cloudy,23.0
Ozark Mountain Ziplines,36.4273344,-93.7849651,Arkansas,establishment,Clear,32.0
Try Scuba Diving,21.2838343,-157.8464546,Hawaii,point_of_interest,Mostly Clear,72.0
Charleston Sailing Charters,32.7790565,-79.9510749,South Carolina,point_of_interest,Clear,42.0
Cape Water Tours,38.778922,-75.1407713,Delaware,point_of_interest,Mostly Clear,31.0
Explorida,28.89896229999999,-82.5928079,Florida,point_of_interest,Partly Cloudy,36.0
Timberline Adventures,47.6730938,-116.7828051,Idaho,point_of_interest,Areas Of Fog,33.0
Rip Roaring Adventures,35.8140068,-83.1455764,Tennessee,point_of_interest,Clear,24.0
Dan Mick's Guided Jeep Tours,38.58232599999999,-109.5522684,United States,point_of_interest,Mostly Cloudy,20.0
Wahoo Ziplines,35.8517404,-83.6099983,Tennessee,establishment,Clear,23.0
Navajo Spirit Tours,36.9838829,-110.1129551,Arizona,point_of_interest,Mostly Cloudy,26.0
Therapy IV Deep Sea Fishing Experience,25.906601,-80.1244467,Florida,point_of_interest,Mostly Cloudy,68.0
Epic 4X4 Adventures,38.5575334,-109.5421163,Utah,point_of_interest,Mostly Cloudy,22.0
Babylon Tours Washington D.C.,38.88722,-77.02087600000002,District of Columbia,point_of_interest,Clear,28.0
Inside Chicago Walking Tours,41.8781136,-87.6297982,Illinois,political,Mostly Clear,31.0
Dive Maui,20.8842762,-156.6853024,Hawaii,point_of_interest,Mostly Clear,74.0
Nice Guy Tours,40.736328,-74.000782,New York,point_of_interest,Mostly Clear,32.0
Boston Segway Tours,42.3593705,-71.0525068,Massachusetts,point_of_interest,Mostly Clear,31.0
Baranof Fishing Excursions,55.3396748,-131.6431448,Alaska,point_of_interest,Heavy Rain,40.0
Cherokee Rafting,35.1152819,-84.6940036,Tennessee,point_of_interest,Clear,23.0
New York Media Boat / Adventure Sightseeing Tours,40.7122897,-74.01697469999999,New York,point_of_interest,Mostly Clear,33.0
Liquid Alaska Tours,58.2987361,-134.4045556,Alaska,point_of_interest,Heavy Rain,39.0
Navitat Canopy Adventures - Asheville Zipline,35.5950581,-82.5514869,North Carolina,political,Mostly Clear,23.0
Geyser Whitewater Expeditions,45.2461953,-111.2521984,Montana,point_of_interest,Mostly Cloudy,17.0
Maui Plane Rides,20.8982384,-156.4257157,Hawaii,point_of_interest,Mostly Clear,68.0
Dreamlander Tours,25.9220984,-81.6471182,Florida,park,Partly Cloudy,57.0
Solitude Float Trips,43.6552739,-110.7158214,Wyoming,point_of_interest,Cloudy then Chance Light Snow,18.0
"SK Tours Of Maine, LLC",44.7978477,-68.80582129999999,Maine,establishment,Partly Cloudy,23.0
Raft One,35.0365753,-84.4276809,United States,point_of_interest,Clear,23.0
Canopy Ridge Farm,35.4213726,-82.1718714,North Carolina,point_of_interest,Clear,25.0
New Orleans Secrets,29.9575276,-90.0657538,Louisiana,point_of_interest,Partly Cloudy,44.0
Broadmoor Outfitters,38.79226360000001,-104.8468204,Colorado,park,Mostly Cloudy,24.0
Almost Heaven Kayak Adventures,27.3092988,-82.5694852,Florida,point_of_interest,Partly Cloudy,48.0
Rod's Alaskan Guide Service,64.7903911,-147.303876,Alaska,point_of_interest,Light Snow,-2.0
Riptide Ride,46.425784,-86.660046,Michigan,point_of_interest,Mostly Cloudy then Chance Snow Showers,27.0
Kona Boys,19.5238925,-155.921827,United States,establishment,Scattered Rain Showers then Mostly Cloudy,66.0
Hemingway Water Shuttle,25.961984,-81.727279,United States,point_of_interest,Partly Cloudy,56.0
Manhattan Walking Tour,40.774227,-73.95249199999999,New York,point_of_interest,Mostly Clear,34.0
Jungle Zipline Maui,20.908069,-156.228042,Hawaii,point_of_interest,Scattered Rain Showers,67.0
Charlotte NC Tours,35.2270869,-80.8431267,North Carolina,political,Mostly Clear,29.0
iRide Nashville,36.1631358,-86.7819641,Tennessee,point_of_interest,Clear,28.0
Alaska Helicopter Tours,61.4343349,-148.7660042,United States,point_of_interest,,
Hollywood Hikes,34.0928092,-118.3286614,California,political,Partly Cloudy,52.0
Blazin' Paddles,36.0099332,-114.7844222,Nevada,point_of_interest,Partly Cloudy,44.0
Intrepid Urban Adventures - Boston,42.3600825,-71.0588801,Massachusetts,political,Mostly Clear,29.0
Maine State Sea Kayak,44.2849796,-68.32802339999999,United States,point_of_interest,Mostly Clear,27.0
